date,time,sender,message,source_file,trans
,PM 9:08,선우,잠은 잘 잤니,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0002.xml,睡得好嗎
,PM 9:08,선우,ʕ•ﻌ•ʔฅ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0003.xml,ʕ•ﻌ•ʔฅ
,PM 9:08,선우,잘 떠?이름?,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0003.xml,有正常顯示嗎？名字？
,PM 9:10,선우,프시,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0003.xml,頭貼……
,PM 9:10,선우,프사,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0003.xml,頭貼
,PM 9:10,선우,바꿀만한 거 없는데...,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0003.xml,沒有什麼可以換的耶……
,PM 9:10,선우,뭘로하지,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0004.xml,要用什麼好呢
,PM 9:10,선우,핀터레스트에 내사진 찾아서,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0004.xml,去 Pinterest 找我的照片
,PM 9:10,선우,걍 해봐야겠다,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0004.xml,就試試看好了
,PM 9:33,선우,짜잔,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0004.xml,鏘鏘
,PM 9:34,선우,나 밥 왔닼,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0004.xml,我的飯來了ㅋㅋ
,PM 9:34,선우,밥만 ㄱㄷ ㄱ ㄷ ㄱㄷ ㄷ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0005.xml,等我吃個飯 ㄱㄷ ㄱㄷ ㄱㄷ
,PM 10:08,선우,잘 먹었다,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0005.xml,吃飽了
,PM 10:08,선우,배불러~,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0005.xml,好飽～
,PM 10:09,선우,닭볶음탕 먹음,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0005.xml,吃了辣燉雞湯
,PM 10:10,선우,스키장도 가야하는데!!!!!!!!!,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0005.xml,也得去滑雪場才行啊!!!!!!!!!
,PM 10:21,선우,무대서고 싶당 헤헤,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0006.xml,好想站上舞台啊 嘿嘿
,PM 10:21,선우,가대축 하고 있나 지금?,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0006.xml,現在是在辦歌謠大祝祭嗎？
,PM 10:23,선우,내 25 연말을,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0006.xml,我的 25 歲年末
,PM 10:23,선우,무대로 남길 수 없다니,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0006.xml,竟然不能留在舞台上
,PM 10:24,선우,하지만,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0006.xml,但是
,PM 10:24,선우,내년에 더 하면 되지 ㅎㅎ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0007.xml,明年多做一點就好了ㅎㅎ
,PM 10:25,선우,올해버다 더 잘하고 더 멋잌ㅅ게 하면 됨,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0007.xml,比今年做得更好、更帥就可以了
,PM 10:25,선우,할 수 이떠!!!!!!,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0007.xml,我做得到!!!!!!
,PM 10:33,선우,데뷔하고 항상 한 번도 빠짐 없이 젤 바빴던 연말이 올해는,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0007.xml,出道之後每一年年末都一次不落地是最忙的，今年卻
,PM 10:34,선우,안 바쁘니까 가족이랑도 있어보고 레슨도 받아보고,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0008.xml,不忙，所以想陪陪家人、上上課
,PM 10:34,선우,내년을 잘 준비 하기위해 마음도 좀 비우고 생각정리도 해보고 하려구,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0008.xml,為了好好準備明年，也想把心稍微放空、整理一下想法
,PM 10:35,선우,앞으로의 연말이,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0008.xml,以後的年末
,PM 10:35,선우,안 바쁠 일은 없을 테니까!,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0008.xml,應該不會再有不忙的時候了！
,PM 10:36,선우,"아이돌 하는 동안의 처음이자 마지막 연말의 여유일 테니까 ㅋ 더비들도 넘 아쉬워 하지말구 내년 같이
달리쟝",C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0009.xml,這可能是我當偶像期間第一次也是最後一次悠閒的年末ㅋ DERBY 們也不要太可惜，明年一起衝吧
,PM 10:39,선우,연말에 그만큼 안 바쁜 건 안 바쁜 거고 뭐 레슨을 하던 여유를 즐기던 가족을 보던간에,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0009.xml,年末沒有那麼忙歸沒有那麼忙，不管是上課、享受空閒，還是見家人
,PM 10:39,선우,생존해 있는지는 알 수 있게 신경 쓸겤ㅋ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0009.xml,我會注意一下，至少讓你們知道我還活著ㅋㅋ
,PM 10:40,선우,프롬은 버블보단 자주 오기 도전!!!!!!!,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0010.xml,挑戰比 Bubble 更常來 Fromm!!!!!!!
,PM 10:41,선우,버블보다 더 안 오면 사고이긴 한데 그럴 일은 없을 듯,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0010.xml,如果比 Bubble 還不常來，那真的算出事了，但應該不會那樣
,PM 10:41,선우,이게 유료라는 걸 망각하지 않겠습니다 누님들,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0010.xml,我不會忘記這是付費的，姐姐們
,PM 10:41,선우,그동안 섭하셨죠,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0010.xml,這段時間你們很失望吧
,PM 10:41,선우,반성합니디,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0010.xml,我反省
,PM 10:42,선우,"그래도 연장은 들지
말아주세요",C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0011.xml,不過請不要拿工具來打我
,PM 10:43,선우,"그래도 기계적으로 오지는 않을 거긴 한데 누가봐도 할 수 있을 때 , 예를들어 숏츠 볼 시간에 프롬 하나 더 보낼 수 있는",C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0011.xml,雖然我應該不會機械式地來，但在任誰看都覺得可以來的時候，比如有時間看 Shorts 的話，其實也能多傳一則 Fromm
,PM 10:43,선우,그런 아이가 되도록 노력하겠습니다,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0011.xml,我會努力成為那樣的孩子
,PM 10:45,선우,"그래도 무리는 알아서 안하니까 걱정ㅇ
 하지마~^.^! 내가 기계적으로 느껴질때까지 오직 의무만을 가지고 오고 성격이 그러질 못하니까 ㅎㅎ",C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0012.xml,不過我自己知道不會勉強，所以別擔心～^.^！我個性也不是那種會只帶著義務感來，來到讓你們覺得我像機器人的程度ㅎㅎ
,PM 10:45,선우,나도 재밌게 하구 가고,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0012.xml,我自己也要玩得開心再走
,PM 10:45,선우,떠드는 게 재밌구 얘기하는 게 재밌구,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0012.xml,聊天很有趣，說話也很有趣
,PM 10:45,선우,이런 기억만 가지구,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0012.xml,只有留下這樣的記憶
,PM 10:46,선우,있어야 내가 더 잘 온다는 걸 스스로,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0013.xml,我自己也知道，這樣我才會更常來
,PM 10:46,선우,알고 있음 ㅋ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0013.xml,我知道ㅋ
,PM 11:18,선우,다음 앨범 언제 나오는 게 베스트라고 생각함,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0013.xml,你覺得下一張專輯什麼時候出最好
,PM 11:18,선우,내일 . 지금은 제외,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0013.xml,明天、現在除外
,PM 11:25,선우,어차피 우리 맘대로 안될 테지만,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0014.xml,反正也不會照我們的意思來就是了
,PM 11:25,선우,오케잌,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0014.xml,OKㅋㅋ
,PM 11:32,선우,ʕ•ﻌ•ʔฅ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0014.xml,ʕ•ﻌ•ʔฅ
,PM 11:33,선우,너 뭐라고 저장했냐,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0014.xml,你把我存成什麼了
,PM 11:33,선우,니 이름 다 보인다,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0014.xml,你的名字我都看得到
,PM 11:33,선우,위에 뜨는 이름이랑 너가 불릴 애칭이랑,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0015.xml,上面顯示的名字，跟你被叫的暱稱
,PM 11:34,선우,따로 할 수 있는 건가?,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0015.xml,可以分開設定嗎？
,PM 11:58,선우,씻고 왔음,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0015.xml,洗完澡回來了
,PM 11:59,선우,나 가사도 쓰고 가사 안 나오면 겜 좀 하다가 자께,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0015.xml,我要寫歌詞，寫不出來就玩一下遊戲再睡
,PM 11:59,선우,얼른 자 ㅎㅎㅎㅎㅎ🫶,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0015.xml,快點睡ㅎㅎㅎㅎㅎ🫶
,AM 9:04,선우,[media/no text],C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0017.xml,
,AM 9:05,선우,[media/no text],C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0020.xml,
,AM 9:08,선우,[media/no text],C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0024.xml,
,AM 9:11,선우,[media/no text],C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0028.xml,
,AM 9:13,선우,[media/no text],C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0032.xml,
,AM 9:22,선우,play_video,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0036.xml,播放影片
,AM 9:29,선우,play_video,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0036.xml,播放影片
,AM 9:30,선우,play_video,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0037.xml,播放影片
,AM 10:15,선우,"나 사실 잠을 못 자써 지금까지🥲 갑자기 새벽에 코랑 목이 넘 아프고 오한 때뭄에 주사라도 맞고 하려고 했는데 좀 상태가 힘들어서 오늘 아돌라 넘 기다렸울 텐데 진짜 진짜 너무 미안해...!! 공지 나갈 건데 너무 미안하고 기다렸을 텐데 할 수 있는 게 사진 보내주고 이것 밖에 없어서.,, ㅠ 미안해 ㅜㅜㅜㅠㅠ병원가서 치료 바로 받을 거구 걱정하지말구 아픈 게 뭐가 미안하냐고 할 거 알지만 아파서 월요일 아돌라 기다렸을 더비들한테도 모두한테도 피해준 것 같아서 넘 미안하고 ㅠㅠ 빨리 나을게!! 더비 감기 조심해 ... 밥 잘 먹고 비타민도 챙기고 손도 잘 씻는데 걸려써 밖에 나가지마",C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0038.xml,"其實我到現在都沒睡著🥲 凌晨突然鼻子跟喉嚨超痛，還發冷，本來想至少去打一針，但狀態有點撐不住。今天大家應該很期待 IDOL RADIO，真的真的太抱歉了...!! 等下會發公告，真的很對不起，你們一定等了很久，但我能做的只有傳照片給你們，真的只剩這樣了.,, ㅠ 對不起 ㅜㅜㅜㅠㅠ 我會去醫院馬上治療，別擔心。我知道你們會說生病有什麼好道歉的，但因為生病，好像讓等著星期一 IDOL RADIO 的 DERBY 們和大家都受影響了，真的很抱歉ㅠㅠ 我會快點好起來!! DERBY 小心感冒... 飯要好好吃、維他命也要吃、手也要洗乾淨，我這樣還是中標了，別出門"
,AM 10:19,선우,지금 맹구랑 콧물로 맞장뜰 수 있음,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0039.xml,我現在可以跟小新用鼻涕一決勝負
,AM 10:21,선우,그리구 다시한 번 진짜 오늘 기다려준 더비들 너무 미안해 안 아플게..! 사랑해 ㅠ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0039.xml,還有再一次，今天等我的 DERBY 們真的很對不起，我不會再生病了..! 我愛你ㅠ
,AM 12:01,선우,메에에에ㅔㅇ리크리이이이이이이스마아아아앙스💕💕💕💕💕💕💕,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0039.xml,聖～～～～誕～～～～快～～～～樂💕💕💕💕💕💕💕
,AM 12:01,선우,💕💕💕💕💕💕 나는 감기크리스마스젠장,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0040.xml,💕💕💕💕💕💕 我是感冒聖誕，該死
,AM 12:01,선우,아푸지말고 남은 올해도 행복하쟈💕💕💕,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0040.xml,不要生病，剩下的今年也一起幸福吧💕💕💕
,AM 12:01,선우,사랑해🫶,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0040.xml,我愛你🫶
,PM 2:26,선우,새해 복 많이 많이 받고 항상 내 마음속엔 더비들이 일등이야 건강하게 곧 만나자 우리💕,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0041.xml,新年快樂快樂，一直以來 DERBY 們在我心裡都是第一名，我們健康地很快見吧💕
,PM 6:49,선우,여,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0041.xml,嘿
,PM 6:49,선우,~,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0042.xml,~
,PM 6:49,선우,오랜만,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0042.xml,好久不見
,PM 6:50,선우,잘 지냈나 ~,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0042.xml,過得好嗎～
,PM 6:51,선우,몸은 다 나았어~~~~,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0042.xml,身體都好了~~~~
,PM 6:51,선우,감기 드릅게 오래가더라,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0042.xml,感冒真的拖超久
,PM 6:51,선우,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0043.xml,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
,PM 6:52,선우,오랜만에 스케쥴 한다,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0043.xml,久違地有行程
,PM 6:52,선우,내일,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0043.xml,明天
,PM 6:55,선우,오늘 갑자기 눈와서,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0043.xml,今天突然下雪
,PM 6:55,선우,깜짝 놀랐네,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0043.xml,嚇我一跳
,PM 6:56,선우,요즘 너무 추워,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0044.xml,最近太冷了
,PM 6:58,선우,밥 머거쏘?,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0044.xml,飯吃了嗎？
,PM 6:58,선우,저메추 ㄱ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0044.xml,晚餐推薦 ㄱ
,PM 7:01,선우,쭈삼 맛있겠닿,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0044.xml,辣炒章魚五花肉應該很好吃ㅎㅎ
,PM 7:02,선우,"나 진짜 청국장 못 먹는데 이제
슬슬",C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0045.xml,我真的不能吃清麴醬湯，但現在慢慢地
,PM 7:02,선우,맛을 알아가는 중,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0045.xml,正在懂它的味道
,PM 7:02,선우,음식 향 때문에 진입장벽이 높았는데,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0045.xml,因為食物味道，入門門檻很高
,PM 7:03,선우,코막힐 때 먹으니까,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0045.xml,鼻塞的時候吃
,PM 7:03,선우,맛있더라고,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0045.xml,結果還蠻好吃的
,PM 7:03,선우,맛은 대충 느껴졌으니까,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0046.xml,味道大概感受到了
,PM 7:03,선우,코 뚫린 상태에서 도전해봐야겠다,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0046.xml,等鼻子通了再挑戰看看
,PM 7:04,선우,나 ㅇ요즘 밥 먹으면 진짜 참을 수 없이 졸리던데,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0046.xml,我最近吃完飯真的睏到受不了
,PM 7:05,선우,나랑 같은 사람?,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0046.xml,有跟我一樣的人嗎？
,PM 7:05,선우,이거 어케 극복함,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0047.xml,這個要怎麼克服
,PM 7:05,선우,밥 먹으면 수면제 먹은 것처럼,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0047.xml,吃完飯就像吃了安眠藥一樣
,PM 7:05,선우,잠와,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0047.xml,很想睡
,PM 7:05,선우,혈당 스파이크 때메 그런가 진짜,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0047.xml,真的是因為血糖飆升嗎
,PM 7:06,선우,혈당이 올랐다가 갑자기 내려가면 그런다고 네이버가 알려주긴 하더라,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0047.xml,血糖上升後又突然下降的話會這樣，Naver 是這麼告訴我的
,PM 7:06,선우,밥 먹고 10분 산책하기엔,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0048.xml,吃完飯要散步 10 分鐘的話
,PM 7:06,선우,그 10분안에 얼어죽음,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0048.xml,那 10 分鐘內會先冷死
,PM 7:07,선우,애사비가 머야,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0048.xml,蘋果醋是什麼啊
,PM 7:07,선우,오 사과식초 비슷한 거구나,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0048.xml,喔，原來是跟蘋果醋差不多的東西啊
,PM 7:07,선우,근데 그냥 알약 같은 건 없음?,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0049.xml,可是沒有像藥錠那種嗎？
,PM 7:08,선우,먹기 편한 거,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0049.xml,吃起來方便的
,PM 7:08,선우,오 알약도 있고 젤리도 있다구?,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0049.xml,喔，有藥錠也有軟糖？
,PM 7:08,선우,좋은데?,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0049.xml,不錯欸？
,PM 7:08,선우,시키고 옴 ㄱㄷ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0049.xml,我去下單，等我
,PM 7:12,선우,시켰는대,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0050.xml,下單了
,PM 7:12,선우,이거,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0050.xml,這個
,PM 7:12,선우,왤케 비싸;,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0050.xml,怎麼這麼貴；
,PM 7:12,선우,애사비 젤리 시킴,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0050.xml,買了蘋果醋軟糖
,PM 7:12,선우,60정 3통,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0050.xml,60 顆 3 罐
,PM 7:12,선우,칠만 얼마,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0051.xml,七萬多
,PM 7:13,선우,내가 먹어보고,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0051.xml,我吃吃看之後
,PM 7:13,선우,후기 알려줌,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0051.xml,告訴你們心得
,PM 7:13,선우,밥 먹고 안 졸린지 ㅋ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0051.xml,看吃完飯會不會不睏ㅋ
,PM 7:13,선우,내가 겪어볼 테니 그리고 떤민수 ㄱ ㄱ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0051.xml,我先親身試試看，然後大家再跟著善旴同款 ㄱㄱ
,PM 7:13,선우,한달 정도 꾸준히,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0052.xml,大概一個月持續
,PM 7:14,선우,복용 후 리뷰 남길게요~!,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0052.xml,服用後我會來留心得～！
,PM 7:14,선우,탄수화물 적게 먹기앤,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0052.xml,要少吃碳水的話
,PM 7:14,선우,엔,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0052.xml,的話
,PM 7:14,선우,탄수화물이 맛있는 걸 .. ㅜㅠ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0052.xml,可是碳水很好吃啊..ㅜㅠ
,PM 7:15,선우,밀가루 탄수화물 안 먹으면 넘 좋겠지만,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0053.xml,如果不吃麵粉和碳水當然很好
,PM 7:15,선우,그럼 먹을게 없잖아,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0053.xml,那不就沒東西可以吃了
,PM 7:15,선우,물만 마셔?,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0053.xml,只喝水嗎？
,PM 7:16,선우,밀가루와 탄수화물을 맘 껏 먹어도,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0053.xml,希望能出現一種就算盡情吃麵粉和碳水
,PM 7:16,선우,"건강해지는 약이
생겼으면 조켓당",C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0054.xml,也會變健康的藥
,PM 7:16,선우,헤헤,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0054.xml,嘿嘿
,PM 7:17,선우,이과 화이팅!💕,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0054.xml,理科加油！💕
,PM 7:18,선우,문과는 세상을 아름답게 이과는 세상을 이롭게 예체능은 세상을 다채롭게,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0054.xml,文科讓世界變美，理科讓世界變得有益，藝體能讓世界變得多采多姿
,PM 7:18,선우,각자의 역할을 열심히 해보자,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0055.xml,大家都努力做好各自的角色吧
,PM 7:18,선우,ㅋ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0055.xml,ㅋ
,PM 7:21,선우,공평하게 문과도 화이팅 하라고?,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0055.xml,你說也要公平地叫文科加油？
,PM 7:21,선우,그래,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0055.xml,好
,PM 7:22,선우,문과 화이팅💕,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0055.xml,文科加油💕
,PM 7:22,선우,예체능 화이팅💕,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0056.xml,藝體能加油💕
,PM 7:22,선우,아무 것도 해당 안된다고 해도 화이팅💕,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0056.xml,就算什麼都不屬於也加油💕
,PM 7:23,선우,26살 실화냐,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0056.xml,26 歲是真的嗎
,PM 7:23,선우,점점 무섭다 시간이,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0056.xml,時間越來越可怕了
,PM 7:23,선우,더보이즈만 햤는데 벌써 26이야,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0056.xml,我只做了 THE BOYZ，結果已經 26 了
